Company Name,Subindustry,Sub Subindustry,Address,Phone,Website,Postcode
O'Brien's Bar and Grill,Bar / Lounge,American,134 W 46th St,(212) 391-1516,,10036
46 Bar (Paramount Hotel),Bar / Lounge,,235 W 46th St,(212) 764-5500,http://www.nycparamount.com/,10036
St. Andrews Restaurant and Bar,Bar / Lounge,,142 W 46th St,(212) 840-8413,www.standrewsnyc.com,10036
Ritz Bar & Lounge,Bar / Lounge,,369 W 46th St,(212) 977-3884,,10036
Deacon Brodie's Tavern,Bar / Lounge,,370 W 46th St,(212) 262-1452,,10036
The Whiskey,Bar / Lounge,,1567 Broadway,2129307444,www.midnightoilbars.com,10036
Bar 10,Bar / Lounge,,270 W 43rd St,(212) 201-2764,www.westinny.com,10036
The Long Room,Bar / Lounge,,120 West 44th St.,(212) 997-3933,www.thelongroomnyc.com,10036
Connolly's Pub And Restaurant,Bar / Lounge,,121 W 45th St,(212) 597-5126,www.ConnollysPubAndRestaurant.com,10036
The Perfect Pint,Bar / Lounge,,123 W 45th St,(212) 354-1099,www.theperfectpintnyc.com,10036
Jimmy's Corner,Bar / Lounge,,140 W 44th St,(212) 221-9510,,10036
Playwright Celtic Pub,Bar / Lounge,,732 Eighth Ave,(212) 354-8404,http://www.playwrightcelticpubnyc.com/,10036
Mean Fiddler,Bar / Lounge,,266 W 47th St,(212) 354-2950,,10036
Emmett O'Lunney's,Bar / Lounge,,210 W 50th St,(212) 957-5100,www.emmettolunneys.com,10019
Rum House,Bar / Lounge,,228 W 47th St,(212) 869-3005,,10036
Harmony View,Bar / Lounge,,210 W 50th St,(212) 957-5100,www.harmonyview.com/,10019
Europa Cafe,Cafe / Deli,,3 Times Sq,212-239-0160,www.euorpacafe.com,10036
Laxmi Corp. Newsstand,Cafe / Deli,,879 Eighth Ave,,,10019
Green Emporium,Cafe / Deli,,791 Eighth Ave,2124591924,,10019
810 Deli Inc,Cafe / Deli,,810 Seventh Ave,2125414136,www.810deli.com,10019
Deli / Café,Cafe / Deli,,810 Seventh Ave,(212) 541-4136,http://www.810deli.com/,10019
Victor's Cafe,Cafe / Deli,,236 W 52nd St,(212) 586-7714,www.victorscafe.com,10019
Sunrise Deli,Cafe / Deli,,1441 Broadway,2122216490,,10018
Abondanza,Cafe / Deli,,146 W 46th St,(212) 938-1333,,10036
Vacant (former Café Groppi),Cafe / Deli,,148 W 49th St,(212) 221-0082,,10019
Y & H Grocery,Cafe / Deli,,150 W 47th St,(212) 840-1659,,10036
Europa Cafe,Cafe / Deli,,152 W 51st St,(212) 581-0152,www.euorpacafe.com,10019
Virtigo Cafe Llc,Cafe / Deli,,234 W 42nd St,2122219454,,10036
Dean & Deluca,Cafe / Deli,,560 Broadway,(212) 869-6890,www.deandeluca.com,10012
Gourmet New York,Cafe / Deli,,680 Eighth Ave,,,10036
Port Gourmet Deli,Cafe / Deli,,681 Eighth Ave,(212) 245-3168,,10036
1657 Broadway Deli Ltd.,Cafe / Deli,,1651-1665 Broadway,2129560099,,10019
EZ Deil and NY Nail Land,Cafe / Deli,,1625 Broadway,(212) 333-5650,,10019
Paramount Cafe,Cafe / Deli,,1501 Broadway, Suite# 2009,2123916675,,10036
City Chow,Cafe / Deli,,1633 Broadway,(212) 445-0600,www.blueradishgroup.com,10019
Cosi,Cafe / Deli,,1633 Broadway,2123972674,www.cosiny.com,10019
Roxy Deli,Cafe / Deli,,1565 Broadway,212-921-3333,www.roxydeli.com,10036
Times Deli Café,Cafe / Deli,,158 W 44th St,212 944-1234,,10036
New York Bagel Company,Cafe / Deli,,1674 Broadway,2123977720,www.networkbeyond.com,10019
Dean & Deluca,Cafe / Deli,,620 Eighth Ave,2122210308,www.deandeluca.com,10018
Europa Café,Cafe / Deli,,218 W 42nd St,(212) 664-1820 x14,,10036
Uncle A's Mini Mart,Cafe / Deli,,220 W 41st St,(212) 921-7185,,10036
Chock full o' Nuts Cafe,Cafe / Deli,,234 W 42nd St,2127645969,www.chockfullonuts.com,10036
EASY INTERNET CAFE TIME SQUARE LLC,Cafe / Deli,,258 W 42nd St,,,10036
Howard Johnson's Cafe',Cafe / Deli,,1551-1553 Broadway,,,10036
David's Potbelly Stove Cafe,Cafe / Deli,,1501 Broadway,(212) 626-9000,,10036
Time Square Deli,Cafe / Deli,,1501 Broadway,(212) 840-7983,,10036
Cranberry Gourmet,Cafe / Deli,,115 W 45th St,(212) 730-9495,,10036
Pret a Manger,Cafe / Deli,,135 W 50th St,(212) 489-6458,,10020
Metro Deli/ Ranch #1,Cafe / Deli,,141 W 41st St,(212) 768-1111,,10036
Europa Cafe,Cafe / Deli,,787 Seventh Ave,2125812517,www.europacafe.com,10019
Pax Foods,Cafe / Deli,,740 Seventh Ave,(212) 399-9100,www.paxfood.com,10019
Hale & Hearty,Cafe / Deli,,745 Seventh Ave,2122219666,www.haleandhearty.com,10019
Majestic Delication Café,Cafe / Deli,,750 Seventh Ave,2125818249,www.majesticdeli.com,10019
Midtown Gourmet Deli,Cafe / Deli,,840 Eighth Ave,(212) 586-6433,,10019
Chopp't,Cafe / Deli,,1460 Broadway,,,10036
Off Broadway Deli/ Pizza,Cafe / Deli,,726 Eighth Ave,,,10036
Andy's Deli & Natural Foods,Cafe / Deli,,270 W 47th St,,,10036
Maxie's Delicatessen,Cafe / Deli,,723 Seventh Ave,(212) 398-1118,,10019
Cyber Cafe,Cafe / Deli,,250 W 49th St,,,10019
Starlite Deli,Cafe / Deli,,212 W 44th St,(212) 840-1859,,10036
Times Square Hot Bagels,Cafe / Deli,,200 W 44th St,(212) 997-7300,,10036
